Unnamed: 0,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
549,52,48,9,7,3,5,6,2,11,10,9,7,10,11,1,1,Вест Бромвич , Ньюкасл,0,0,0
550,63,37,14,8,3,3,11,5,10,8,9,4,6,10,3,1,Ливерпуль , Фулхэм,0,1,2
551,65,35,16,6,6,6,10,0,9,12,6,2,10,9,0,1,Манчестер Сити , Манчестер Юнайтед,0,2,2
552,64,36,9,4,5,1,4,3,8,17,1,5,16,8,1,4,Тоттенхэм , Кристал Пэлас,4,1,1
553,65,35,15,5,9,1,6,4,11,12,7,3,12,10,1,0,Челси , Эвертон,2,0,1
554,35,65,11,12,5,2,6,10,9,9,6,6,9,9,1,1,Вест Хэм , Лидс,2,0,1
555,50,50,7,10,3,6,4,4,10,10,2,2,9,9,0,4,Ньюкасл , Астон Вилла,1,1,0
556,38,62,4,10,4,8,0,2,16,6,8,5,6,16,5,3,Лидс , Челси,0,0,0
557,45,55,5,7,4,1,1,6,16,15,3,2,14,15,1,1,Кристал Пэлас , Вест Бромвич,1,0,1
558,65,35,9,11,4,5,5,6,9,6,7,4,6,8,2,1,Эвертон , Бернли,1,2,2
559,47,53,0,8,0,7,0,1,14,13,4,2,12,13,1,3,Фулхэм , Манчестер Сити,0,3,2
560,59,41,5,6,4,6,1,0,11,10,4,5,10,11,1,1,Саутгемптон , Брайтон,1,2,2
561,71,29,14,1,10,0,4,1,10,9,9,1,9,10,2,0,Лестер , Шеффилд Юнайтед,5,0,1
562,52,48,11,5,3,3,8,2,12,14,6,3,13,12,0,1,Арсенал , Тоттенхэм,2,1,1
563,61,39,8,3,4,0,4,3,12,2,6,3,2,12,0,2,Манчестер Юнайтед , Вест Хэм,1,0,1
564,52,48,7,9,5,4,2,5,17,10,3,2,10,16,2,1,Вулверхэмптон , Ливерпуль,0,1,2
565,72,28,14,3,10,1,4,2,9,5,10,2,5,8,3,1,Манчестер Сити , Вулверхэмптон,4,1,1
566,39,61,12,10,7,4,5,6,6,12,5,8,11,5,3,2,Бернли , Лестер,1,1,0
567,29,71,7,9,2,4,5,5,13,6,2,7,6,13,1,1,Шеффилд Юнайтед , Астон Вилла,1,0,1
568,37,63,5,7,2,1,3,6,4,13,4,6,13,4,1,2,Кристал Пэлас , Манчестер Юнайтед,0,0,0
569,49,51,6,5,3,3,3,2,9,7,3,3,6,7,3,2,Вест Бромвич , Эвертон,0,1,2
570,54,46,5,10,1,5,4,5,9,8,5,2,8,9,1,4,Ливерпуль , Челси,0,1,2
571,51,49,10,11,6,4,4,7,13,12,13,7,12,13,1,4,Фулхэм , Лидс,1,2,2
572,65,35,7,3,6,1,1,2,12,5,3,1,5,12,2,1,Брайтон , Ньюкасл,3,0,1
573,37,63,12,11,5,7,7,4,18,8,3,5,8,15,1,0,Вест Хэм , Арсенал,3,3,0
574,59,41,10,7,3,2,7,5,13,9,4,1,9,12,4,2,Фулхэм , Тоттенхэм,0,1,2
575,58,42,15,9,10,6,5,3,6,4,5,5,4,6,1,4,Манчестер Сити , Саутгемптон,5,2,1
576,61,39,8,8,3,5,5,3,10,14,5,5,14,10,2,0,Тоттенхэм , Саутгемптон,2,1,1
577,66,34,14,11,8,7,6,4,11,6,10,3,6,11,1,4,Челси , Вест Бромвич,2,5,2
578,54,46,17,5,8,1,9,4,12,13,5,7,11,12,1,1,Лидс , Шеффилд Юнайтед,2,1,1
579,44,56,4,10,2,4,2,6,13,12,1,1,12,13,3,1,Лестер , Манчестер Сити,0,2,2
580,36,64,2,13,2,7,0,6,10,10,1,2,10,10,0,3,Арсенал , Ливерпуль,0,3,2
581,53,47,12,7,9,5,3,2,11,10,6,7,10,10,0,1,Саутгемптон , Бернли,3,2,1
582,42,58,13,9,6,5,7,4,13,14,7,3,14,13,1,3,Ньюкасл , Тоттенхэм,2,2,0
583,52,48,9,12,4,7,5,5,14,20,4,4,19,13,5,2,Астон Вилла , Фулхэм,3,1,1
584,57,43,13,3,7,3,6,0,14,7,5,6,7,13,0,2,Манчестер Юнайтед , Брайтон,2,1,1
585,48,52,14,10,7,6,7,4,10,10,3,4,9,10,2,1,Эвертон , Кристал Пэлас,1,1,0
586,66,34,18,9,5,6,13,3,9,9,4,2,8,9,1,1,Вулверхэмптон , Вест Хэм,2,3,2
587,50,50,10,7,3,3,7,4,11,8,3,4,8,11,3,1,Фулхэм , Вулверхэмптон,0,1,2
588,71,29,18,2,7,2,11,0,12,15,9,3,15,12,2,3,Манчестер Сити , Лидс,1,2,2
589,66,34,16,9,10,5,6,4,16,11,7,0,11,15,2,2,Ливерпуль , Астон Вилла,2,1,1
