Unnamed: 0,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
729,66,34,14,3,4,1,10,2,10,16,6,3,15,9,0,0,Лидс , Уотфорд,1,0,1
730,58,42,14,7,2,2,12,5,8,5,8,5,5,8,1,1,Брайтон , Арсенал,0,0,0
731,59,41,11,9,5,6,6,3,16,13,11,6,13,16,2,1,Вест Хэм , Брентфорд,1,2,2
732,60,40,13,7,4,5,9,2,15,11,1,3,11,15,2,1,Кристал Пэлас , Лестер,2,2,0
733,56,44,14,8,8,3,6,5,11,14,5,8,14,11,0,1,Тоттенхэм , Астон Вилла,2,1,1
734,49,51,4,7,4,3,0,4,10,12,3,4,12,10,2,5,Ливерпуль , Манчестер Сити,2,2,0
735,24,76,5,14,2,8,3,6,4,10,1,9,10,4,8,2,Уотфорд , Ливерпуль,0,5,2
736,46,54,17,2,5,0,12,2,16,14,8,1,14,15,1,2,Саутгемптон , Лидс,1,0,1
737,49,51,17,15,11,6,6,9,5,17,4,3,17,5,2,3,Лестер , Манчестер Юнайтед,4,2,1
738,49,51,12,7,5,4,7,3,8,17,6,7,17,8,1,2,Астон Вилла , Вулверхэмптон,2,3,2
739,70,30,11,6,6,2,5,4,11,5,6,2,5,10,0,3,Манчестер Сити , Бернли,2,0,1
740,36,64,8,7,3,3,5,4,5,14,8,4,14,5,0,0,Норвич , Брайтон,0,0,0
741,44,56,10,4,7,1,3,3,13,8,5,5,8,13,1,4,Брентфорд , Челси,0,1,2
742,39,61,11,8,2,4,9,4,3,3,7,9,2,3,0,2,Эвертон , Вест Хэм,0,1,2
743,36,64,5,7,1,4,4,3,13,4,2,9,4,13,0,1,Ньюкасл , Тоттенхэм,2,3,2
744,53,47,13,9,6,6,7,3,7,4,6,4,3,7,0,3,Арсенал , Кристал Пэлас,2,2,0
745,53,47,17,7,9,4,8,3,17,10,7,4,10,16,1,0,Арсенал , Астон Вилла,3,1,1
746,61,39,20,2,13,1,7,1,14,16,5,0,14,13,1,0,Челси , Норвич,7,0,1
747,75,25,9,5,3,2,6,3,13,9,3,7,9,13,2,3,Кристал Пэлас , Ньюкасл,1,1,0
748,63,37,13,6,4,4,9,2,15,14,6,3,12,15,1,1,Лидс , Вулверхэмптон,1,1,0
749,50,50,10,15,4,8,6,7,9,13,3,5,12,8,1,0,Эвертон , Уотфорд,2,5,2
750,61,39,11,8,4,5,7,3,10,11,6,2,10,10,1,1,Саутгемптон , Бернли,2,2,0
751,48,52,9,17,5,14,4,3,10,6,7,6,6,9,2,1,Брайтон , Манчестер Сити,1,4,2
752,38,62,9,6,4,4,5,2,11,4,2,4,3,10,1,0,Вест Хэм , Тоттенхэм,1,0,1
753,54,46,11,9,5,6,6,3,13,7,9,2,7,13,3,1,Брентфорд , Лестер,1,2,2
754,37,63,10,13,4,8,6,5,10,8,6,3,8,10,7,0,Манчестер Юнайтед , Ливерпуль,0,5,2
755,64,36,13,6,8,5,5,1,8,11,7,6,11,8,2,1,Лестер , Арсенал,0,2,2
756,21,79,3,12,1,6,2,6,14,12,0,2,11,13,1,4,Ньюкасл , Челси,0,3,2
757,39,61,10,7,4,1,6,6,16,6,5,8,6,16,2,0,Уотфорд , Саутгемптон,0,1,2
758,67,33,7,7,3,3,4,4,11,11,7,1,10,11,2,5,Манчестер Сити , Кристал Пэлас,0,2,2
759,41,59,15,8,6,5,9,3,7,10,4,2,10,7,3,4,Бернли , Брентфорд,3,1,1
760,58,42,8,8,3,6,5,2,8,5,5,3,5,7,1,5,Ливерпуль , Брайтон,2,2,0
761,58,42,6,6,0,4,6,2,12,14,10,2,14,12,4,1,Тоттенхэм , Манчестер Юнайтед,0,3,2
762,48,52,9,8,3,6,6,2,14,23,5,0,23,13,0,0,Норвич , Лидс,1,2,2
763,43,57,8,13,3,8,5,5,7,13,3,6,13,7,2,0,Астон Вилла , Вест Хэм,1,4,2
764,62,38,7,10,4,5,3,5,10,8,4,3,8,10,1,2,Вулверхэмптон , Эвертон,2,1,1
765,56,44,7,10,3,3,4,7,12,12,10,8,12,12,0,2,Саутгемптон , Астон Вилла,1,0,1
766,33,67,4,12,1,5,3,7,9,12,1,9,12,9,4,1,Манчестер Юнайтед , Манчестер Сити,0,2,2
767,64,36,12,8,7,5,5,3,12,13,6,2,13,12,2,3,Брентфорд , Норвич,1,2,2
768,69,31,14,4,4,2,10,2,6,9,14,2,9,6,1,4,Челси , Бернли,1,1,0
769,59,41,11,4,6,2,5,2,14,13,4,6,13,13,1,1,Кристал Пэлас , Вулверхэмптон,2,0,1
770,65,35,11,5,5,1,6,4,16,10,2,5,9,15,1,1,Брайтон , Ньюкасл,1,1,0
771,60,40,11,3,6,1,5,2,6,19,4,2,19,6,3,3,Арсенал , Уотфорд,1,0,1
772,55,45,14,9,5,3,9,6,12,5,10,5,5,12,1,2,Лидс , Лестер,1,1,0
773,45,55,6,4,2,0,4,4,13,17,4,2,17,13,1,2,Эвертон , Тоттенхэм,0,0,0
774,31,69,5,10,3,5,2,5,11,6,3,2,6,9,2,0,Вест Хэм , Ливерпуль,3,2,1
775,39,61,4,14,3,7,1,7,15,8,3,5,8,15,3,4,Лестер , Челси,0,3,2
776,52,48,18,8,9,4,9,4,13,11,8,2,11,12,0,2,Ньюкасл , Брентфорд,3,3,0
777,37,63,6,2,5,2,1,0,7,13,5,7,13,7,1,0,Астон Вилла , Брайтон,2,0,1
778,40,60,13,14,9,8,4,6,14,15,3,6,15,14,1,0,Бернли , Кристал Пэлас,3,3,0
779,52,48,12,6,5,3,7,3,6,9,7,3,8,6,0,1,Вулверхэмптон , Вест Хэм,1,0,1
780,39,61,13,8,7,3,6,5,7,5,9,3,5,7,1,4,Уотфорд , Манчестер Юнайтед,4,1,1
781,37,63,6,9,4,5,2,4,8,9,5,7,9,8,0,1,Норвич , Саутгемптон,2,1,1
782,62,38,12,3,9,3,3,0,15,12,6,1,11,15,2,8,Ливерпуль , Арсенал,4,0,1
783,77,23,13,1,7,1,6,0,5,7,7,1,7,5,0,2,Манчестер Сити , Эвертон,3,0,1
784,44,56,7,14,4,7,3,7,11,12,4,8,12,11,4,1,Тоттенхэм , Лидс,2,1,1
785,65,35,18,7,6,5,12,2,6,12,4,4,12,5,0,3,Арсенал , Ньюкасл,2,0,1
786,63,37,7,8,3,3,4,5,12,10,7,3,10,11,1,0,Кристал Пэлас , Астон Вилла,1,2,2
787,64,36,15,4,6,3,9,1,7,14,5,7,14,7,2,2,Ливерпуль , Саутгемптон,4,0,1
788,44,56,11,5,4,2,7,3,11,10,4,3,10,11,1,0,Норвич , Вулверхэмптон,0,0,0
789,56,44,18,9,4,4,14,5,12,14,6,1,14,12,2,1,Брайтон , Лидс,0,0,0
790,40,60,6,9,4,5,2,4,8,11,3,3,11,8,0,3,Брентфорд , Эвертон,1,0,1
791,56,44,12,13,8,5,4,8,5,20,8,6,18,5,5,2,Лестер , Уотфорд,4,2,1
792,68,32,15,4,9,3,6,1,7,6,8,4,6,7,4,4,Манчестер Сити , Вест Хэм,2,1,1
793,65,35,16,3,6,2,10,1,13,14,15,2,14,13,2,1,Челси , Манчестер Юнайтед,1,1,0
794,32,68,7,11,1,6,6,5,8,11,2,5,10,8,0,3,Ньюкасл , Норвич,1,1,0
795,61,39,6,5,3,1,3,4,15,15,7,4,14,15,2,0,Лидс , Кристал Пэлас,1,0,1
796,45,55,11,12,7,6,4,6,14,11,2,4,11,14,1,2,Саутгемптон , Лестер,2,2,0
797,50,50,10,7,6,4,4,3,18,16,6,0,16,18,3,5,Уотфорд , Челси,1,2,2
798,35,65,12,7,6,3,6,4,10,8,9,5,7,10,1,0,Вест Хэм , Брайтон,1,1,0
799,65,35,11,4,2,1,9,3,5,7,5,5,6,5,1,3,Вулверхэмптон , Бернли,0,0,0
800,32,68,4,12,2,7,2,5,8,16,3,11,15,4,3,1,Эвертон , Ливерпуль,1,4,2
801,36,64,6,12,3,7,3,5,8,12,4,11,11,8,1,0,Астон Вилла , Манчестер Сити,1,2,2
802,47,53,9,5,6,2,3,3,13,11,11,5,11,13,0,0,Тоттенхэм , Брентфорд,2,0,1
803,45,55,13,13,10,8,3,5,9,10,3,8,10,8,0,1,Манчестер Юнайтед , Арсенал,3,2,1
804,37,63,11,11,5,7,6,4,10,10,1,9,9,10,3,1,Вест Хэм , Челси,3,2,1
805,45,55,10,8,4,4,6,4,15,12,6,2,12,15,0,0,Саутгемптон , Брайтон,1,1,0
806,33,67,3,13,1,5,2,8,4,7,2,8,7,4,7,1,Вулверхэмптон , Ливерпуль,0,1,2
807,48,52,8,6,4,1,4,5,11,9,10,3,9,11,0,1,Ньюкасл , Бернли,1,0,1
808,23,77,10,21,4,13,6,8,11,7,5,11,7,11,0,1,Уотфорд , Манчестер Сити,1,3,2
809,41,59,15,7,7,1,8,6,11,4,6,4,4,11,2,4,Тоттенхэм , Норвич,3,0,1
810,61,39,10,5,3,2,7,3,16,9,9,6,9,16,3,0,Манчестер Юнайтед , Кристал Пэлас,1,0,1
811,63,37,10,5,6,3,4,2,11,9,5,1,8,11,7,0,Лидс , Брентфорд,2,2,0
812,42,58,8,10,4,5,4,5,8,25,3,6,25,8,1,0,Астон Вилла , Лестер,2,1,1
813,37,63,8,7,5,3,3,4,8,12,3,3,12,8,5,1,Эвертон , Арсенал,2,1,1
814,63,37,9,5,5,2,4,3,12,18,8,2,18,12,1,0,Брентфорд , Уотфорд,2,1,1
815,71,29,18,2,10,1,8,1,12,5,14,1,4,10,1,0,Манчестер Сити , Вулверхэмптон,1,0,1
816,57,43,11,6,6,5,5,1,9,15,5,2,15,9,1,4,Челси , Лидс,3,2,1
817,62,38,13,2,5,0,8,2,13,6,11,3,6,13,2,1,Ливерпуль , Астон Вилла,1,0,1
818,61,39,12,8,5,6,7,2,5,9,9,8,8,5,3,1,Арсенал , Саутгемптон,3,0,1
819,48,52,6,9,5,5,1,4,6,17,8,6,17,6,0,1,Норвич , Манчестер Юнайтед,0,1,2
820,41,59,6,11,1,3,5,8,13,11,6,14,9,12,1,1,Бернли , Вест Хэм,0,0,0
821,48,52,7,6,5,3,2,3,9,16,4,6,15,9,0,1,Лестер , Ньюкасл,4,0,1
822,61,39,11,7,6,6,5,1,15,14,8,2,13,15,1,0,Кристал Пэлас , Эвертон,3,1,1
823,50,50,4,9,3,6,1,3,12,9,7,10,9,12,0,0,Норвич , Астон Вилла,0,2,2
824,64,36,24,5,15,3,9,2,5,9,6,2,9,5,1,0,Манчестер Сити , Лидс,7,0,1
825,59,41,9,7,2,5,7,2,11,15,7,4,15,11,1,1,Брайтон , Вулверхэмптон,0,1,2
826,59,41,8,11,6,4,2,7,16,20,4,6,20,14,1,3,Кристал Пэлас , Саутгемптон,2,2,0
827,56,44,13,4,8,1,5,3,9,9,5,2,9,7,0,0,Арсенал , Вест Хэм,2,0,1
828,80,20,20,4,10,3,10,1,11,11,7,1,10,11,0,2,Челси , Эвертон,1,1,0
829,74,26,17,5,8,3,9,2,9,4,11,0,4,9,2,1,Ливерпуль , Ньюкасл,3,1,1
830,50,50,8,15,2,12,6,3,11,7,1,4,6,11,0,1,Лидс , Арсенал,1,4,2
831,29,71,5,15,1,7,4,8,9,6,3,6,6,8,4,2,Ньюкасл , Манчестер Сити,0,4,2
832,37,63,2,2,1,1,1,1,9,7,4,9,5,9,2,4,Вулверхэмптон , Челси,0,0,0
833,44,56,8,12,5,6,3,6,12,11,6,4,11,11,3,1,Тоттенхэм , Ливерпуль,2,2,0
834,71,29,12,13,9,8,3,5,11,9,14,4,9,11,2,1,Манчестер Сити , Лестер,6,3,1
835,36,64,3,10,2,6,1,4,13,7,3,5,7,13,3,2,Норвич , Арсенал,0,5,2
836,59,41,12,2,6,0,6,2,16,9,4,2,9,15,1,0,Тоттенхэм , Кристал Пэлас,3,0,1
837,55,45,8,8,5,6,3,2,10,9,10,2,9,10,2,1,Вест Хэм , Саутгемптон,2,3,2
838,43,57,3,7,1,4,2,3,8,11,2,5,11,8,2,2,Астон Вилла , Челси,1,3,2
839,50,50,12,12,5,6,7,6,8,10,6,9,9,8,2,3,Брайтон , Брентфорд,2,0,1
840,32,68,11,7,8,4,3,3,11,8,2,3,8,11,2,3,Ньюкасл , Манчестер Юнайтед,1,1,0
841,50,50,12,5,6,3,6,2,9,13,8,8,13,9,1,3,Кристал Пэлас , Норвич,3,0,1
842,43,57,10,9,5,6,5,3,12,12,4,5,11,12,0,1,Уотфорд , Вест Хэм,1,4,2
843,35,65,5,16,2,11,3,5,15,5,3,7,3,15,3,3,Саутгемптон , Тоттенхэм,1,1,0
844,37,63,3,16,1,4,2,12,8,11,1,12,10,8,3,1,Лестер , Ливерпуль,1,0,1
845,48,52,8,14,5,6,3,8,14,7,10,8,7,12,1,0,Челси , Брайтон,1,1,0
846,24,76,4,8,2,3,2,5,12,10,3,5,10,12,0,3,Брентфорд , Манчестер Сити,0,1,2
847,57,43,15,7,6,3,9,4,5,10,7,5,10,5,2,4,Манчестер Юнайтед , Бернли,3,1,1
848,49,51,9,20,4,10,5,10,6,12,3,8,12,5,1,0,Лестер , Тоттенхэм,2,3,2
849,44,56,13,7,9,5,4,2,7,9,6,9,7,6,3,0,Брентфорд , Манчестер Юнайтед,1,3,2
850,49,51,10,4,6,4,4,0,9,8,5,2,8,9,0,1,Саутгемптон , Брентфорд,4,1,1
851,61,39,10,6,5,3,5,3,9,8,11,2,8,9,4,3,Вест Хэм , Норвич,2,0,1
852,29,71,6,8,2,2,4,6,13,5,5,5,4,12,1,2,Арсенал , Манчестер Сити,1,2,2
853,26,74,6,15,4,9,2,6,6,9,3,7,9,6,1,3,Уотфорд , Тоттенхэм,0,1,2
854,62,38,17,9,6,5,11,4,6,16,9,1,15,4,0,2,Кристал Пэлас , Вест Хэм,2,3,2
855,46,54,10,11,4,5,6,6,17,11,3,7,11,17,0,4,Брентфорд , Астон Вилла,2,1,1
856,55,45,13,6,7,2,6,4,11,7,9,3,7,11,5,1,Лидс , Бернли,3,1,1
857,50,50,13,8,6,5,7,3,5,12,8,5,12,4,1,1,Эвертон , Брайтон,2,3,2
858,55,45,11,8,6,6,5,2,5,13,6,7,13,5,3,3,Челси , Ливерпуль,2,2,0
859,51,49,6,13,2,6,4,7,9,8,3,8,8,9,2,3,Манчестер Юнайтед , Вулверхэмптон,0,1,2
860,63,37,14,2,4,1,10,1,11,7,9,0,7,10,1,2,Брайтон , Кристал Пэлас,1,1,0
861,55,45,9,3,6,1,3,2,11,6,9,1,6,11,3,4,Манчестер Сити , Челси,1,0,1
862,43,57,8,13,5,10,3,3,13,14,2,10,14,12,2,1,Вулверхэмптон , Саутгемптон,3,1,1
863,52,48,9,11,1,5,8,6,13,13,4,6,12,13,1,1,Ньюкасл , Уотфорд,1,1,0
864,41,59,9,6,3,5,6,1,12,14,8,8,14,11,3,1,Норвич , Эвертон,2,1,1
865,54,46,13,10,9,6,4,4,8,13,3,6,13,8,1,1,Астон Вилла , Манчестер Юнайтед,2,2,0
866,48,52,11,14,5,5,6,9,6,9,4,3,9,6,1,1,Вест Хэм , Лидс,2,3,2
867,68,32,21,4,13,1,8,3,6,6,9,0,5,6,2,7,Ливерпуль , Брентфорд,3,0,1
868,68,32,11,4,4,2,7,2,16,11,5,1,11,16,1,1,Уотфорд , Норвич,0,3,2
869,50,50,8,7,1,3,7,4,14,16,9,2,16,13,3,1,Эвертон , Астон Вилла,0,1,2
870,50,50,6,5,1,2,5,3,6,7,6,3,7,6,0,4,Брентфорд , Вулверхэмптон,1,2,2
871,63,37,8,7,4,3,4,4,9,9,6,7,8,9,0,0,Лидс , Ньюкасл,0,1,2
872,56,44,12,4,3,1,9,3,9,8,3,3,8,9,4,1,Манчестер Юнайтед , Вест Хэм,1,0,1
873,26,74,6,13,3,5,3,8,13,5,2,11,4,13,2,0,Саутгемптон , Манчестер Сити,1,1,0
874,44,56,8,13,5,7,3,6,12,10,2,5,10,11,5,2,Кристал Пэлас , Ливерпуль,1,3,2
875,75,25,13,7,5,1,8,6,9,13,12,4,12,8,0,2,Арсенал , Бернли,0,0,0
876,44,56,8,9,5,5,3,4,6,8,4,5,8,6,3,3,Лестер , Брайтон,1,1,0
877,64,36,12,5,7,3,5,2,17,14,10,3,14,17,0,1,Челси , Тоттенхэм,2,0,1
878,44,56,5,8,2,3,3,5,8,5,5,7,5,6,1,0,Брайтон , Челси,1,1,0
879,35,65,10,9,4,2,6,7,8,8,3,7,8,8,3,2,Бернли , Тоттенхэм,1,0,1
880,51,49,9,9,2,5,7,4,16,9,4,7,8,16,3,0,Бернли , Уотфорд,0,0,0
881,50,50,11,9,7,3,4,6,8,10,10,2,9,8,1,1,Манчестер Юнайтед , Брайтон,2,0,1
882,46,54,5,7,1,5,4,2,12,9,6,4,8,12,2,1,Уотфорд , Кристал Пэлас,1,4,2
883,63,37,20,3,15,2,5,1,5,11,4,0,10,5,1,6,Ливерпуль , Лидс,6,0,1
884,55,45,16,6,5,2,11,4,8,9,5,4,8,8,2,2,Арсенал , Вулверхэмптон,2,1,1
885,40,60,15,6,9,3,6,3,13,13,6,2,12,13,1,1,Ньюкасл , Эвертон,3,1,1
886,64,36,7,5,3,1,4,4,1,6,5,6,6,1,3,1,Вест Хэм , Уотфорд,1,0,1
887,36,64,8,10,3,5,5,5,11,10,2,10,10,10,2,1,Бернли , Манчестер Юнайтед,1,1,0
888,48,52,5,20,3,10,2,10,7,13,2,8,13,7,3,1,Тоттенхэм , Саутгемптон,2,3,2
889,75,25,13,4,7,2,6,2,7,13,9,3,12,6,2,10,Манчестер Сити , Брентфорд,2,0,1
890,29,71,3,9,1,5,2,4,11,16,4,6,15,11,1,2,Норвич , Кристал Пэлас,1,1,0
891,40,60,10,13,4,8,6,5,11,9,6,11,9,10,1,2,Астон Вилла , Лидс,3,3,0
892,58,42,11,5,4,2,7,3,12,13,7,4,13,12,1,2,Вулверхэмптон , Арсенал,0,1,2
893,65,35,18,4,11,1,7,3,11,7,7,6,6,11,3,4,Ливерпуль , Лестер,2,0,1
894,52,48,10,10,8,4,2,6,12,13,1,4,11,12,7,1,Манчестер Юнайтед , Саутгемптон,1,1,0
895,42,58,12,4,10,0,2,4,8,9,5,3,9,8,1,0,Эвертон , Лидс,3,0,1
896,36,64,6,8,1,6,5,2,16,9,4,5,7,16,1,1,Уотфорд , Брайтон,0,2,2
897,43,57,7,5,2,3,5,2,10,10,3,9,10,10,0,0,Брентфорд , Кристал Пэлас,0,0,0
898,29,71,7,17,3,9,4,8,7,8,4,12,7,6,2,2,Норвич , Манчестер Сити,0,4,2
899,37,63,6,7,2,1,4,6,22,15,3,6,15,21,3,2,Ньюкасл , Астон Вилла,1,0,1
900,58,42,12,8,7,7,5,1,13,13,7,3,13,12,3,1,Тоттенхэм , Вулверхэмптон,0,2,2
901,33,67,8,9,5,4,3,5,7,6,5,8,6,6,7,3,Бернли , Ливерпуль,0,1,2
902,55,45,9,5,2,3,7,2,10,9,5,4,8,10,0,0,Лестер , Вест Хэм,2,2,0
903,47,53,5,8,3,3,2,5,3,7,3,7,7,3,2,1,Вест Хэм , Ньюкасл,1,1,0
904,66,34,16,3,8,2,8,1,10,5,14,0,4,9,1,2,Арсенал , Брентфорд,2,1,1
905,55,45,16,5,11,0,5,5,6,9,4,4,9,6,4,2,Саутгемптон , Эвертон,2,0,1
906,43,57,5,6,0,3,5,3,4,20,4,4,19,4,1,3,Кристал Пэлас , Челси,0,1,2
907,69,31,19,5,8,1,11,4,7,8,9,4,8,6,1,5,Ливерпуль , Норвич,3,1,1
908,68,32,7,6,1,4,6,2,12,12,4,4,12,11,1,3,Брайтон , Бернли,0,3,2
909,59,41,12,7,1,4,11,3,12,7,10,5,7,12,0,0,Астон Вилла , Уотфорд,0,1,2
910,71,29,15,6,4,5,11,1,5,7,10,0,6,5,1,3,Манчестер Сити , Тоттенхэм,2,3,2
911,54,46,12,11,6,9,6,2,13,19,3,3,18,13,4,2,Лидс , Манчестер Юнайтед,2,4,2
912,37,63,8,13,3,7,5,6,12,9,7,10,9,11,2,2,Вулверхэмптон , Лестер,2,1,1
913,58,42,21,4,9,1,12,3,12,9,13,6,9,11,2,1,Саутгемптон , Норвич,2,0,1
914,50,50,13,13,3,11,10,2,16,11,3,6,11,16,0,3,Лидс , Тоттенхэм,0,4,2
915,38,62,4,21,1,11,3,10,9,7,6,6,6,8,0,0,Брентфорд , Ньюкасл,0,2,2
916,59,41,6,3,4,1,2,2,5,16,5,4,16,5,0,2,Кристал Пэлас , Бернли,1,1,0
917,67,33,15,7,3,2,12,5,2,7,4,3,7,2,2,2,Манчестер Юнайтед , Уотфорд,0,0,0
918,66,34,7,6,1,4,6,2,17,11,7,2,11,16,0,0,Брайтон , Астон Вилла,0,2,2
919,33,67,5,11,2,8,3,3,7,14,3,4,14,7,4,2,Эвертон , Манчестер Сити,0,1,2
920,39,61,12,5,4,1,8,4,8,2,3,5,2,7,2,1,Вест Хэм , Вулверхэмптон,1,0,1
921,49,51,7,11,0,7,7,4,11,9,6,3,9,11,3,1,Брайтон , Тоттенхэм,0,2,2
922,65,35,9,5,5,0,4,5,11,10,5,2,9,10,1,4,Вулверхэмптон , Уотфорд,4,0,1
923,50,50,3,11,1,9,2,2,17,11,3,5,11,17,3,5,Лидс , Астон Вилла,0,3,2
924,39,61,6,12,3,6,3,6,13,11,5,7,11,12,1,1,Эвертон , Ньюкасл,1,0,1
925,67,33,9,5,5,4,4,1,6,7,12,5,7,5,1,1,Саутгемптон , Ньюкасл,1,2,2
926,45,55,6,12,2,6,4,6,10,13,6,8,13,10,4,3,Бернли , Лестер,0,2,2
927,49,51,5,5,2,3,3,2,9,9,1,6,9,7,4,2,Арсенал , Ливерпуль,0,2,2
928,51,49,4,13,4,4,0,9,9,12,5,10,12,9,2,0,Лестер , Лидс,1,0,1
929,39,61,13,8,9,1,4,7,10,8,4,7,8,10,0,1,Астон Вилла , Саутгемптон,4,0,1
930,64,36,9,9,5,8,4,1,13,8,7,7,8,12,1,8,Вулверхэмптон , Кристал Пэлас,0,2,2
931,33,67,8,7,4,4,4,3,8,10,4,7,9,8,0,4,Ньюкасл , Брайтон,2,1,1
932,59,41,10,7,7,6,3,1,13,18,5,5,16,12,1,3,Норвич , Брентфорд,1,3,2
933,28,72,3,5,1,5,2,0,12,7,5,2,7,12,1,1,Бернли , Челси,0,4,2
934,68,32,15,10,5,5,10,5,7,7,4,6,7,7,1,4,Ливерпуль , Вест Хэм,1,0,1
935,43,57,10,13,7,4,3,9,5,12,1,5,12,5,2,0,Уотфорд , Арсенал,2,3,2
936,69,31,16,3,10,2,6,1,10,14,9,3,14,9,0,1,Манчестер Сити , Манчестер Юнайтед,4,1,1
937,55,45,12,2,7,0,5,2,15,10,5,2,9,15,0,1,Тоттенхэм , Эвертон,5,0,1
938,51,49,7,15,3,9,4,6,12,15,7,6,13,11,1,1,Брайтон , Ливерпуль,0,2,2
939,54,46,7,6,4,1,3,5,6,10,2,9,10,6,4,4,Брентфорд , Бернли,2,0,1
940,44,56,9,5,6,3,3,2,8,7,4,5,6,7,0,2,Манчестер Юнайтед , Тоттенхэм,3,2,1
941,38,62,7,8,2,3,5,5,13,11,5,2,11,12,7,0,Эвертон , Вулверхэмптон,0,1,2
942,48,52,9,9,4,7,5,2,9,3,5,7,3,8,0,0,Вест Хэм , Астон Вилла,2,1,1
943,62,38,12,8,7,5,5,3,8,12,11,3,11,7,0,0,Саутгемптон , Уотфорд,1,2,2
944,72,28,7,7,3,2,4,5,17,17,7,2,17,16,3,6,Челси , Ньюкасл,1,0,1
945,52,48,12,8,7,4,5,4,18,8,6,2,8,18,2,3,Лидс , Норвич,2,1,1
946,46,54,12,4,8,3,4,1,8,10,2,6,9,7,2,0,Арсенал , Лестер,2,0,1
947,27,73,6,13,1,4,5,9,6,11,2,6,11,6,2,3,Кристал Пэлас , Манчестер Сити,0,0,0
948,34,66,7,12,3,7,4,5,8,15,3,8,13,8,2,1,Норвич , Челси,1,3,2
949,48,52,12,13,8,6,4,7,13,14,2,5,14,13,1,3,Вулверхэмптон , Лидс,2,3,2
950,47,53,7,6,1,3,6,3,13,14,6,5,14,12,1,1,Астон Вилла , Арсенал,0,1,2
951,52,48,10,9,4,6,6,3,10,10,2,5,10,10,2,3,Лестер , Брентфорд,2,1,1
952,52,48,12,6,4,1,8,5,7,7,5,3,7,7,1,0,Тоттенхэм , Вест Хэм,3,1,1
953,37,63,11,4,3,3,8,1,8,17,5,4,17,8,0,1,Эвертон , Лестер,1,1,0
954,50,50,10,8,4,4,6,4,11,16,9,6,15,11,1,0,Бернли , Эвертон,3,2,1
955,68,32,7,11,2,4,5,7,7,6,6,1,4,7,1,4,Челси , Арсенал,2,4,2
956,71,29,11,1,5,1,6,0,3,6,10,2,6,3,3,2,Ливерпуль , Манчестер Юнайтед,4,0,1
957,37,63,7,8,4,2,3,6,12,12,2,5,12,12,2,3,Ньюкасл , Кристал Пэлас,1,0,1
958,65,35,9,2,5,1,4,1,12,7,7,4,7,12,1,2,Манчестер Сити , Брайтон,3,0,1
959,43,57,10,7,6,3,4,4,7,7,10,10,7,7,3,2,Бернли , Саутгемптон,2,0,1
960,73,27,13,4,3,2,10,2,9,8,9,3,8,9,1,3,Ливерпуль , Уотфорд,2,0,1
961,24,76,3,15,1,6,2,9,11,6,1,8,5,11,5,0,Бернли , Манчестер Сити,0,2,2
962,63,37,22,3,4,0,18,3,12,11,11,2,9,11,1,1,Брайтон , Норвич,0,0,0
963,70,30,17,11,8,6,9,5,11,7,12,7,7,10,0,0,Челси , Брентфорд,1,4,2
964,49,51,9,12,5,5,4,7,15,8,4,9,8,15,1,1,Вулверхэмптон , Астон Вилла,2,1,1
965,55,45,5,10,3,6,2,4,14,7,4,7,7,14,0,0,Лидс , Саутгемптон,1,1,0
966,53,47,10,9,5,3,5,6,13,6,6,5,6,13,4,1,Манчестер Юнайтед , Лестер,1,1,0
967,55,45,9,8,5,2,4,6,9,12,2,4,11,9,1,1,Вест Хэм , Эвертон,2,1,1
968,60,40,14,4,6,1,8,3,10,7,2,3,7,10,0,4,Тоттенхэм , Ньюкасл,5,1,1
969,32,68,6,11,5,3,1,8,11,15,0,2,14,10,2,4,Кристал Пэлас , Арсенал,3,0,1
970,42,58,7,4,4,2,3,2,6,13,1,2,13,6,1,0,Ньюкасл , Вулверхэмптон,1,0,1
971,33,67,5,5,3,4,2,1,4,10,5,7,8,4,1,2,Эвертон , Манчестер Юнайтед,1,0,1
972,29,71,1,22,1,14,0,8,11,10,3,3,10,11,0,1,Саутгемптон , Челси,0,6,2
973,49,51,8,10,1,5,7,5,8,12,3,8,12,8,3,1,Уотфорд , Лидс,0,3,2
974,64,36,9,7,4,3,5,4,12,19,11,2,17,10,2,2,Арсенал , Брайтон,1,2,2
975,51,49,13,6,8,5,5,1,12,14,9,3,14,12,1,2,Астон Вилла , Тоттенхэм,0,4,2
976,45,55,12,13,6,4,6,9,12,10,6,7,9,12,3,3,Норвич , Бернли,2,0,1
977,50,50,6,6,3,3,3,3,11,12,3,4,12,11,0,0,Лестер , Кристал Пэлас,2,1,1
978,48,52,10,4,7,1,3,3,2,6,4,6,5,2,1,2,Брентфорд , Вест Хэм,2,0,1
979,55,45,9,6,5,4,4,2,9,11,4,1,10,8,5,2,Манчестер Сити , Ливерпуль,2,2,0
980,49,51,3,10,0,5,3,5,14,10,4,4,10,13,0,3,Тоттенхэм , Брайтон,0,1,2
981,50,50,13,12,4,5,9,7,11,9,6,5,8,11,0,0,Уотфорд , Брентфорд,1,2,2
