,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
1028,51,49,14,13,3,7,11,6,10,12,4,5,12,9,2,1,Саутгемптон , Лидс,0,2,2
1029,57,43,11,7,6,5,5,2,10,15,6,1,15,10,4,1,Манчестер Юнайтед , Фулхэм,1,1,0
1030,62,38,10,6,6,4,4,2,13,11,5,3,11,13,3,1,Брайтон , Манчестер Сити,3,2,1
1031,58,42,11,6,6,3,5,3,15,16,6,5,15,14,1,0,Челси , Лестер,2,1,1
1032,50,50,14,10,5,1,9,9,7,7,5,2,7,6,2,4,Ньюкасл , Шеффилд Юнайтед,1,0,1
1033,60,40,6,13,4,4,2,9,14,13,4,5,13,14,2,3,Тоттенхэм , Астон Вилла,1,2,2
1034,41,59,8,5,4,3,4,2,11,11,7,12,11,11,0,0,Эвертон , Вулверхэмптон,1,0,1
1035,32,68,10,4,6,3,4,1,7,7,6,7,6,6,3,2,Кристал Пэлас , Арсенал,1,3,2
1036,42,58,7,12,4,3,3,9,10,7,6,7,7,8,1,1,Бернли , Ливерпуль,0,3,2
1037,52,48,9,18,4,9,5,9,8,11,6,8,10,8,2,1,Вест Бромвич , Вест Хэм,1,3,2
1038,69,31,15,5,5,4,10,1,10,8,14,1,7,10,2,1,Ливерпуль , Кристал Пэлас,2,0,1
1039,64,36,7,7,0,4,7,3,12,6,5,4,6,12,1,0,Фулхэм , Ньюкасл,0,2,2
1040,53,47,12,4,5,1,7,3,10,8,11,3,8,10,2,1,Арсенал , Брайтон,2,0,1
1041,29,71,6,18,3,7,3,11,11,12,2,9,12,11,0,2,Астон Вилла , Челси,2,1,1
1042,64,36,12,11,9,5,3,6,12,12,8,3,11,12,3,3,Лидс , Вест Бромвич,3,1,1
1043,47,53,8,6,6,4,2,2,9,8,8,7,7,8,3,1,Лестер , Тоттенхэм,2,4,2
1044,67,33,17,5,11,3,6,2,8,10,7,5,10,8,1,1,Манчестер Сити , Эвертон,5,0,1
1045,43,57,10,6,3,3,7,3,11,1,8,9,1,11,2,1,Шеффилд Юнайтед , Бернли,1,0,1
1046,37,63,13,13,7,5,6,8,5,9,2,3,9,5,5,2,Вест Хэм , Саутгемптон,3,0,1
1047,57,43,10,9,4,4,6,5,14,3,6,2,3,14,1,1,Вулверхэмптон , Манчестер Юнайтед,1,2,2
